Name:     Description:
mjnquesb  "Mahjong Quest (No Nudity)"
footchmp  "Football Champ (World)"
hthero    "Hat Trick Hero (Japan)"
euroch92  "Euro Champ '92 (World)"
koshien   "Ah Eikou no Koshien (Japan)"
yuyugogo  "Yuuyu no Quiz de GO!GO! (Japan)"
ninjak    "Ninja Kids (World)"
ninjakj   "Ninja Kids (Japan)"
solfigtr  "Solitary Fighter (World)"
qzquest   "Quiz Quest - Hime to Yuusha no Monogatari (Japan)"
pulirula  "PuLiRuLa (World)"
pulirulj  "PuLiRuLa (Japan)"
qzchikyu  "Quiz Chikyu Bouei Gun (Japan)"
yesnoj    "Yes/No Sinri Tokimeki Chart"
deadconx  "Dead Connection (World)"
deadconj  "Dead Connection (Japan)"
dinorex   "Dino Rex (World)"
dinorexj  "Dino Rex (Japan)"
dinorexu  "Dino Rex (US)"
qjinsei   "Quiz Jinsei Gekijoh (Japan)"
qcrayon   "Quiz Crayon Shinchan (Japan)"
qcrayon2  "Crayon Shinchan Orato Asobo (Japan)"
driftout  "Drift Out (Japan)"
driveout  "Drive Out"
tigerh    "Tiger Heli (set 1)"
tigerh2   "Tiger Heli (set 2)"
tigerhj   "Tiger Heli (Japan)"
tigerhb1  "Tiger Heli (bootleg 1)"
tigerhb2  "Tiger Heli (bootleg 2)"
slapfigh  "Slap Fight"
slapbtjp  "Slap Fight (Japan bootleg)"
slapbtuk  "Slap Fight (English bootleg)"
alcon     "Alcon"
getstar   "Guardian"
getstarj  "Get Star (Japan)"
getstarb  "Get Star (bootleg)"
fshark    "Flying Shark (World)"
skyshark  "Sky Shark (US)"
hishouza  "Hishou Zame (Japan)"
fsharkbt  "Flying Shark (bootleg)"
wardner   "Wardner (World)"
pyros     "Pyros (US)"
wardnerj  "Wardna no Mori (Japan)"
twincobr  "Twin Cobra (World)"
twincobu  "Twin Cobra (US)"
ktiger    "Kyukyoku Tiger (Japan)"
rallybik  "Rally Bike / Dash Yarou"
truxton   "Truxton / Tatsujin"
hellfire  "Hellfire"
zerowing  "Zero Wing"
demonwld  "Demon's World / Horror Story"
fireshrk  "Fire Shark"
samesame  "Same! Same! Same!"
outzone   "Out Zone"
outzonep  "Out Zone (bootleg)"
vimana    "Vimana (set 1)"
vimana2   "Vimana (set 2)"
vimanan   "Vimana (Nova Apparate GMBH & Co)"
snowbros  "Snow Bros. - Nick & Tom (set 1)"
snowbroa  "Snow Bros. - Nick & Tom (set 2)"
snowbrob  "Snow Bros. - Nick & Tom (set 3)"
snowbroj  "Snow Bros. - Nick & Tom (Japan)"
tekipaki  "Teki Paki"
ghox      "Ghox"
dogyuun   "Dogyuun"
kbash     "Knuckle Bash"
tatsujn2  "Truxton II / Tatsujin II / Tatsujin Oh (Japan)"
pipibibs  "Pipi & Bibis / Whoopee (Japan)"
pipibibi  "Pipi & Bibis / Whoopee (Japan) [bootleg ?]"
whoopee   "Whoopee (Japan) / Pipi & Bibis (World)"
vfive     "V-Five (Japan)"
grindstm  "Grind Stormer"
batsugun  "Batsugun"
batugnsp  "Batsugun Special Ver."
snowbro2  "Snow Bros. 2 - With New Elves"
mahoudai  "Mahou Daisakusen (Japan)"
shippumd  "Shippu Mahou Daisakusen (Japan)"
ddonpach  "Dodonpachi (Japan)"
dfeveron  "Dangun Feveron (Japan)"
esprade   "ESP Ra.De. (Japan)"
uopoko    "Uo Poko (Japan)"
gyrodine  "Gyrodine"
sonofphx  "Son of Phoenix"
repulse   "Repulse"
99lstwar  "'99 The Last War"
99lstwra  "'99 The Last War (alternate)"
flashgal  "Flash Gal"
srdmissn  "S.R.D. Mission"
airwolf   "Air Wolf"
skywolf   "Sky Wolf (set 1)"
skywolf2  "Sky Wolf (set 2)"
defender  "Defender (Red label)"
defendg   "Defender (Green label)"
defendw   "Defender (White label)"
defcmnd   "Defense Command (set 1)"
defence   "Defence Command"
mayday    "Mayday (set 1)"
maydaya   "Mayday (set 2)"
colony7   "Colony 7 (set 1)"
colony7a  "Colony 7 (set 2)"
stargate  "Stargate"
robotron  "Robotron (Solid Blue label)"
robotryo  "Robotron (Yellow/Orange label)"
joust     "Joust (White/Green label)"
joustr    "Joust (Solid Red label)"
joustwr   "Joust (White/Red label)"
bubbles   "Bubbles"
bubblesr  "Bubbles (Solid Red label)"
splat     "Splat!"
sinistar  "Sinistar (revision 3)"
sinista1  "Sinistar (prototype version)"
sinista2  "Sinistar (revision 2)"
blaster   "Blaster"
mysticm   "Mystic Marathon"
tshoot    "Turkey Shoot"
inferno   "Inferno"
joust2    "Joust 2 - Survival of the Fittest (set 1)"
vulgus    "Vulgus (set 1)"
vulgus2   "Vulgus (set 2)"
vulgusj   "Vulgus (Japan?)"
sonson    "Son Son"
higemaru  "Pirate Ship HigeMaru"
1942      "1942 (set 1)"
1942a     "1942 (set 2)"
1942b     "1942 (set 3)"
exedexes  "Exed Exes"
savgbees  "Savage Bees"
commando  "Commando (World)"
commandu  "Commando (US)"
commandj  "Senjo no Ookami"
spaceinv  "Space Invasion"
gng       "Ghosts'n Goblins (World? set 1)"
gnga      "Ghosts'n Goblins (World? set 2)"
gngt      "Ghosts'n Goblins (US)"
makaimur  "Makai-Mura"
makaimuc  "Makai-Mura (Revision C)"
makaimug  "Makai-Mura (Revision G)"
diamond   "Diamond Run"
gunsmoke  "Gun.Smoke (World)"
gunsmrom  "Gun.Smoke (US set 1)"
gunsmoka  "Gun.Smoke (US set 2)"
gunsmokj  "Gun.Smoke (Japan)"
sectionz  "Section Z (set 1)"
sctionza  "Section Z (set 2)"
trojan    "Trojan (US)"
trojanr   "Trojan (Romstar)"
trojanj   "Tatakai no Banka (Japan)"
srumbler  "Speed Rumbler, The (set 1)"
srumblr2  "Speed Rumbler, The (set 2)"
rushcrsh  "Rush & Crash (Japan)"
lwings    "Legendary Wings (US set 1)"
lwings2   "Legendary Wings (US set 2)"
lwingsjp  "Ales no Tsubasa (Japan)"
sidearms  "Side Arms - Hyper Dyne (World)"
sidearmr  "Side Arms - Hyper Dyne (US)"
sidearjp  "Side Arms - Hyper Dyne (Japan)"
turtship  "Turtle Ship"
dyger     "Dyger (set 1)"
dygera    "Dyger (set 2)"
avengers  "Avengers (set 1)"
avenger2  "Avengers (set 2)"
bionicc   "Bionic Commando (US set 1)"
bionicc2  "Bionic Commando (US set 2)"
topsecrt  "Top Secret (Japan)"
1943      "1943 - The Battle of Midway (US)"
1943j     "1943 - The Battle of Midway (Japan)"
blktiger  "Black Tiger"
bktigerb  "Black Tiger (bootleg)"
blkdrgon  "Black Dragon"
blkdrgnb  "Black Dragon (bootleg)"
sf1       "Street Fighter (World)"
sf1us     "Street Fighter (US)"
sf1jp     "Street Fighter (Japan)"
tigeroad  "Tiger Road (US)"
toramich  "Tora eno Michi (Japan)"
f1dream   "F-1 Dream"
f1dreamb  "F-1 Dream (bootleg)"
1943kai   "1943 Kai"
lastduel  "Last Duel (US set 1)"
lstduela  "Last Duel (US set 2)"
lstduelb  "Last Duel (bootleg)"
madgear   "Mad Gear (US)"
madgearj  "Mad Gear (Japan)"
ledstorm  "Led Storm (US)"
forgottn  "Forgotten Worlds (US)"
lostwrld  "Lost Worlds (Japan)"
ghouls    "Ghouls'n Ghosts (World)"
ghoulsu   "Ghouls'n Ghosts (US)"
ghoulsj   "Dai Makai-Mura (Japan)"
strider   "Strider (US)"
striderj  "Strider Hiryu (Japan set 1)"
stridrja  "Strider Hiryu (Japan set 2)"
dwj       "Tenchi wo Kurau (Japan)"
willow    "Willow (Japan, English)"
willowj   "Willow (Japan, Japanese)"
unsquad   "U.N. Squadron (US)"
area88    "Area 88 (Japan)"
ffight    "Final Fight (World)"
ffightu   "Final Fight (US)"
ffightj   "Final Fight (Japan)"
1941      "1941 - Counter Attack (World)"
1941j     "1941 - Counter Attack (Japan)"
mercs     "Mercs (World)"
mercsu    "Mercs (US)"
mercsj    "Senjo no Ookami II (Japan)"
mtwins    "Mega Twins (World)"
chikij    "Chiki Chiki Boys (Japan)"
msword    "Magic Sword - Heroic Fantasy (World)"
mswordu   "Magic Sword - Heroic Fantasy (US)"
mswordj   "Magic Sword (Japan)"
cawing    "Carrier Air Wing (World)"
cawingj   "U.S. Navy (Japan)"
nemo      "Nemo (World)"
nemoj     "Nemo (Japan)"
sf2       "Street Fighter II - The World Warrior (World 910214)"
sf2a      "Street Fighter II - The World Warrior (US 910206)"
sf2b      "Street Fighter II - The World Warrior (US 910214)"
sf2e      "Street Fighter II - The World Warrior (US 910228)"
sf2j      "Street Fighter II - The World Warrior (Japan 911210)"
sf2jb     "Street Fighter II - The World Warrior (Japan 910214)"
3wonders  "Three Wonders (US)"
wonder3   "Wonder 3 (Japan)"
kod       "King of Dragons, The (World)"
kodj      "King of Dragons, The (Japan)"
kodb      "King of Dragons, The (bootleg)"
captcomm  "Captain Commando (World)"
captcomu  "Captain Commando (US)"
captcomj  "Captain Commando (Japan)"
knights   "Knights of the Round (World)"
knightsj  "Knights of the Round (Japan)"
sf2ce     "Street Fighter II' - Champion Edition (World)"
sf2cea    "Street Fighter II' - Champion Edition (US rev A)"
sf2ceb    "Street Fighter II' - Champion Edition (US rev B)"
sf2cej    "Street Fighter II' - Champion Edition (Japan)"
sf2rb     "Street Fighter II' - Champion Edition (Rainbow)"
sf2red    "Street Fighter II' - Champion Edition (Red Wave)"
sf2accp2  "Street Fighter II' - Champion Edition (Accelerator Pt.II)"
varth     "Varth - Operation Thunderstorm (World)"
varthu    "Varth - Operation Thunderstorm (US)"
varthj    "Varth - Operation Thunderstorm (Japan)"
cworld2j  "Capcom World 2 (Japan)"
wof       "Warriors of Fate (World)"
wofa      "Sangokushi II (Asia)"
wofj      "Tenchi wo Kurau II - Sekiheki no Tatakai (Japan)"
sf2t      "Street Fighter II' - Hyper Fighting (US)"
sf2tj     "Street Fighter II' Turbo - Hyper Fighting (Japan)"
dino      "Cadillacs and Dinosaurs (World)"
dinoj     "Cadillacs Kyouryuu-Shinseiki (Japan)"
punisher  "Punisher, The (World)"
punishru  "Punisher, The (US)"
punishrj  "Punisher, The (Japan)"
slammast  "Saturday Night Slam Masters (World)"
mbomberj  "Muscle Bomber - The Body Explosion (Japan)"
mbombrd   "Muscle Bomber Duo - Ultimate Team Battle (World)"
mbombrdj  "Muscle Bomber Duo - Heat Up Warriors (Japan)"
pnickj    "Pnickies (Japan)"
qad       "Quiz & Dragons (US)"
qadj      "Quiz & Dragons (Japan)"
qtono2    "Quiz Tonosama no Yabou 2 Zenkoku-ban (Japan)"
pang3     "Pang! 3 (Euro)"
pang3j    "Pang! 3 (Japan)"
megaman   "Mega Man - The Power Battle (Asia)"
rockmanj  "Rockman - The Power Battle (Japan)"
mgakuen   "Mahjong Gakuen"
mgakuen2  "Mahjong Gakuen 2 Gakuen-chou no Fukushuu"
pkladies  "Poker Ladies"
dokaben   "Dokaben (Japan)"
pang      "Pang (World)"
pangb     "Pang (bootleg)"
bbros     "Buster Bros (US)"
pompingw  "Pomping World (Japan)"
cbasebal  "Capcom Baseball (Japan)"
cworld    "Capcom World (Japan)"
hatena    "Adventure Quiz 2 Hatena Hatena no Dai-Bouken (Japan)"
spang     "Super Pang (World)"
sbbros    "Super Buster Bros (US)"
marukin   "Super Marukin-Ban"
qtono1    "Quiz Tonosama no Yabou (Japan)"
qsangoku  "Quiz Sangokushi (Japan)"
block     "Block Block (World)"
blockj    "Block Block (Japan)"
blockbl   "Block Block (bootleg)"
capbowl   "Capcom Bowling (set 1)"
capbowl2  "Capcom Bowling (set 2)"
clbowl    "Coors Light Bowling"
bowlrama  "Bowl-O-Rama"
cerberus  "Cerberus"
mayhem    "Mayhem 2002"
wseries   "World Series: The Season"
alleymas  "Alley Master"
dangerz   "Danger Zone"
basebal2  "Baseball The Season II"
dblplay   "Super Baseball Double Play Home Run Derby"
strkzone  "Strike Zone"
redlin2p  "Redline Racer (2 players)"
quarterb  "Quarterback"
quartrba  "Quarterback (set 2)"
viper     "Viper"
teamqb    "John Elway's Team Quarterback"
teamqb2   "John Elway's Team Quarterback (set 2)"
aafb      "All American Football (rev E)"
aafbd2p   "All American Football (rev D, 2 Players)"
aafbb     "All American Football (rev B)"
offroad   "Ironman Stewart's Super Off-Road"
offroadt  "Ironman Stewart's Super Off-Road Track Pack"
pigout    "Pigout"
pigouta   "Pigout (alternate)"
ataxx     "Ataxx (set 1)"
ataxxa    "Ataxx (set 2)"
ataxxj    "Ataxx (Japan)"
wsf       "World Soccer Finals"
indyheat  "Danny Sullivan's Indy Heat"
brutforc  "Brute Force"
blockade  "Blockade"
comotion  "Comotion"
hustle    "Hustle"
blasto    "Blasto"
depthch   "Depthcharge"
safari    "Safari"
frogs     "Frogs"
sspaceat  "Space Attack (upright)"
sspacat2  "Space Attack (upright, older)"
sspacatc  "Space Attack (cocktail)"
headon    "Head On (2 players)"
headonb   "Head On (1 player)"
headon2   "Head On 2"
invho2    "Invinco / Head On 2"
samurai   "Samurai (Sega)"
invinco   "Invinco"
invds     "Invinco / Deep Scan"
tranqgun  "Tranquilizer Gun"
spacetrk  "Space Trek (upright)"
sptrekct  "Space Trek (cocktail)"
carnival  "Carnival (upright)"
carnvckt  "Carnival (cocktail)"
digger    "Digger"
pulsar    "Pulsar"
heiankyo  "Heiankyo Alien"
spacfury  "Space Fury (revision C)"
spacfura  "Space Fury (revision A)"
zektor    "Zektor"
tacscan   "Tac/Scan"
elim2     "Eliminator (2 Players, set 1)"
elim2a    "Eliminator (2 Players, set 2)"
elim4     "Eliminator (4 Players)"
startrek  "Star Trek"
astrob    "Astro Blaster (version 3)"
astrob2   "Astro Blaster (version 2)"
astrob1   "Astro Blaster (version 1)"
005       "005"
monsterb  "Monster Bash"
spaceod   "Space Odyssey"
pignewt   "Pig Newton (version C)"
pignewta  "Pig Newton (version A)"
sindbadm  "Sindbad Mystery"
zaxxon    "Zaxxon (set 1)"
zaxxon2   "Zaxxon (set 2)"
zaxxonb   "Jackson"
szaxxon   "Super Zaxxon"
futspy    "Future Spy"
razmataz  "Razzmatazz"
congo     "Congo Bongo"
tiptop    "Tip Top"
starjack  "Star Jacker (Sega)"
starjacs  "Star Jacker (Stern)"
regulus   "Regulus"
regulusu  "Regulus (not encrypted)"
upndown   "Up'n Down"
mrviking  "Mister Viking"
mrvikinj  "Mister Viking (Japan)"
swat      "SWAT"
flicky    "Flicky (set 1)"
flicky2   "Flicky (set 2)"
bullfgtj  "Tougyuu, The (Japan)"
pitfall2  "Pitfall II"
pitfallu  "Pitfall II (not encrypted)"
seganinj  "Sega Ninja"
seganinu  "Sega Ninja (not encrypted)"
nprinces  "Ninja Princess"
nprincsu  "Ninja Princess (not encrypted)"
nprincsb  "Ninja Princess (bootleg?)"
imsorry   "I'm Sorry (US)"
imsorryj  "I'm Sorry (Japan)"
teddybb   "TeddyBoy Blues"
hvymetal  "Heavy Metal"
myhero    "My Hero (US)"
myheroj   "Seishun Scandal (Japan)"
myherok   "My Hero (Korea)"
shtngmst  "Shooting Master"
chplft    "Choplifter"
chplftb   "Choplifter (alternate)"
chplftbl  "Choplifter (bootleg)"
4dwarrio  "4-D Warriors"
brain     "Brain"
wboy      "Wonder Boy (set 1)"
wboy2     "Wonder Boy (set 2)"
wboy3     "Wonder Boy (set 3)"
wboy4     "Wonder Boy (set 4)"
wboyu     "Wonder Boy (not encrypted)"
wboy4u    "Wonder Boy (set 4 not encrypted)"
wbdeluxe  "Wonder Boy Deluxe"
gardia    "Gardia"
gardiab   "Gardia (bootleg)"
blockgal  "Block Gal"
blckgalb  "Block Gal (bootleg)"
tokisens  "Toki no Senshi - Chrono Soldier"
wbml      "Wonder Boy in Monster Land"
wbmlj     "Wonder Boy in Monster Land (Japan set 1)"
wbmlj2    "Wonder Boy in Monster Land (Japan set 2)"
wbmlju    "Wonder Boy in Monster Land (Japan not encrypted)"
dakkochn  "DakkoChan Jansoh"
ufosensi  "Ufo Senshi Yohko Chan"
turbo     "Turbo"
turboa    "Turbo (encrypted set 1)"
turbob    "Turbo (encrypted set 2)"
suprloco  "Super Locomotive"
appoooh   "Appoooh"
bankp     "Bank Panic"
dotrikun  "Dottori Kun (new version)"
dotriku2  "Dottori Kun (old version)"
alexkidd  "Alex Kidd (set 1)"
aliensya  "Alien Syndrome (set 2)"
aliensyb  "Alien Syndrome (set 3)"
aliensyj  "Alien Syndrome (Japan)"
astorm    "Alien Storm"
astorm2p  "Alien Storm (2 Player)"
auraila   "Aurail (set 2)"
bayrouta  "Bay Route (set 2)"
bayrtbl1  "Bay Route (bootleg set 1)"
bayrtbl2  "Bay Route (bootleg set 2)"
enduror   "Enduro Racer"
eswat     "E-Swat"
fpoint    "Flash Point"
goldnaxb  "Golden Axe (Version 2 317-0110)"
goldnaxc  "Golden Axe (Version 2 317-0122)"
goldnaxj  "Golden Axe (Version 1, Japan)"
jyuohki   "Jyuohki (Japan)"
moonwalk  "Moon Walker (Set 1)"
moonwlka  "Moon Walker (Set 2)"
passsht   "Passing Shot (2 Players)"
sdioj     "SDI - Strategic Defense Initiative (Japan)"
shangon   "Super Hang-On"
shinobia  "Shinobi (set 2)"
shinobib  "Shinobi (set 3)"
tetris    "Tetris (Sega Set 1)"
tetrisa   "Tetris (Sega Set 2)"
wb3a      "Wonder Boy III - Monster Lair (set 2)"
alexkida  "Alex Kidd (set 2)"
aliensyn  "Alien Syndrome (set 1)"
altbeas2  "Altered Beast (Version 2)"
altbeast  "Altered Beast (Version 1)"
astormbl  "Alien Storm (bootleg)"
atomicp   "Atomic Point"
aurail    "Aurail (set 1)"
bayroute  "Bay Route (set 1)"
bodyslam  "Body Slam"
dduxbl    "Dynamite Dux (bootleg)"
dumpmtmt  "Dump Matsumoto (Japan)"
endurob2  "Enduro Racer (bootleg set 2)"
endurobl  "Enduro Racer (bootleg set 1)"
eswatbl   "E-Swat (bootleg)"
fantzone  "Fantasy Zone (Japan New Ver.)"
fantzono  "Fantasy Zone (Old Ver.)"
fpointbl  "Flash Point (bootleg)"
goldnabl  "Golden Axe (bootleg)"
goldnaxa  "Golden Axe (Version 2)"
goldnaxe  "Golden Axe (Version 1)"
hangon    "Hang-On"
hwchamp   "Heavyweight Champ"
mjleague  "Major League"
moonwlkb  "Moon Walker (bootleg)"
outrun    "Out Run (set 1)"
outruna   "Out Run (set 2)"
outrunb   "Out Run (set 3)"
passht4b  "Passing Shot (4 Players) (bootleg)"
passshtb  "Passing Shot (2 Players) (bootleg)"
quartet   "Quartet"
quartet2  "Quartet II"
quartetj  "Quartet (Japan)"
riotcity  "Riot City"
sdi       "SDI - Strategic Defense Initiative"
shangonb  "Super Hang-On (bootleg)"
sharrier  "Space Harrier"
shdancbl  "Shadow Dancer (bootleg)"
shdancer  "Shadow Dancer (US)"
shdancrj  "Shadow Dancer (Japan)"
shinobi   "Shinobi (set 1)"
shinobl   "Shinobi (bootleg)"
tetrisbl  "Tetris (Sega bootleg)"
timscanr  "Time Scanner"
toryumon  "Toryumon"
tturf     "Tough Turf (Japan)"
tturfbl   "Tough Turf (bootleg)"
tturfu    "Tough Turf (US)"
wb3       "Wonder Boy III - Monster Lair (set 1)"
wb3bl     "Wonder Boy III - Monster Lair (bootleg)"
wrestwar  "Wrestle War"
logicpro  "Logic Pro"
karianx   "Karian Cross"
logicpr2  "Logic Pro 2 (Japan)"
lnc       "Lock'n'Chase"
zoar      "Zoar"
btime     "Burger Time (Data East set 1)"
btime2    "Burger Time (Data East set 2)"
btimem    "Burger Time (Midway)"
wtennis   "World Tennis"
brubber   "Burnin' Rubber"
bnj       "Bump 'n' Jump"
caractn   "Car Action"
disco     "Disco No.1"
mmonkey   "Minky Monkey"
cookrace  "Cook Race"
astrof    "Astro Fighter (set 1)"
astrof2   "Astro Fighter (set 2)"
astrof3   "Astro Fighter (set 3)"
tomahawk  "Tomahawk 777 (Revision 1)"
tomahaw5  "Tomahawk 777 (Revision 5)"
kchamp    "Karate Champ (US)"
karatedo  "Karate Dou (Japan)"
kchampvs  "Karate Champ (US VS version)"
karatevs  "Taisen Karate Dou (Japan VS version)"
firetrap  "Fire Trap"
firetpbl  "Fire Trap (Japan bootleg)"
brkthru   "Break Thru (US)"
brkthruj  "Kyohkoh-Toppa (Japan)"
darwin    "Darwin 4078 (Japan)"
shootout  "Shoot Out (US)"
shootouj  "Shoot Out (Japan)"
shootoub  "Shoot Out (Korean Bootleg)"
sidepckt  "Side Pocket (World)"
sidepctj  "Side Pocket (Japan)"
sidepctb  "Side Pocket (bootleg)"
exprraid  "Express Raider (US)"
wexpress  "Western Express (World?)"
wexpresb  "Western Express (bootleg)"
pcktgal   "Pocket Gal (Japan)"
pcktgalb  "Pocket Gal (bootleg)"
pcktgal2  "Pocket Gal 2 (World?)"
spool3    "Super Pool III (World?)"
spool3i   "Super Pool III (I-Vics)"
battlera  "Battle Rangers (World)"
bldwolf   "Bloody Wolf (US)"
actfancr  "Act-Fancer Cybernetick Hyper Weapon (World revision 2)"
actfanc1  "Act-Fancer Cybernetick Hyper Weapon (World revision 1)"
actfancj  "Act-Fancer Cybernetick Hyper Weapon (Japan revision 1)"
triothep  "Trio The Punch - Never Forget Me... (Japan)"
lastmiss  "Last Mission (US revision 6)"
lastmss2  "Last Mission (US revision 5)"
shackled  "Shackled (US)"
breywood  "Breywood (Japan revision 2)"
csilver   "Captain Silver (Japan)"
ghostb    "Real Ghostbusters, The (US 2 Players)"
ghostb3   "Real Ghostbusters, The (US 3 Players)"
meikyuh   "Meikyuu Hunter G (Japan)"
srdarwin  "Super Real Darwin (Japan)"
gondo     "Gondomania (US)"
makyosen  "Makyou Senshi (Japan)"
garyoret  "Garyo Retsuden (Japan)"
cobracom  "Cobra-Command (World revision 5)"
cobracmj  "Cobra-Command (Japan)"
oscar     "Psycho-Nics Oscar (US)"
oscarj    "Psycho-Nics Oscar (Japan revision 2)"
oscarj1   "Psycho-Nics Oscar (Japan revision 1)"
oscarj0   "Psycho-Nics Oscar (Japan revision 0)"
karnov    "Karnov (US)"
karnovj   "Karnov (Japan)"
chelnov   "Chelnov - Atomic Runner (US)"
chelnovj  "Chelnov - Atomic Runner (Japan)"
hbarrel   "Heavy Barrel (US)"
hbarrelw  "Heavy Barrel (World)"
baddudes  "Bad Dudes vs. Dragonninja (US)"
drgninja  "Dragonninja (Japan)"
robocop   "Robocop (World revision 3)"
robocopu  "Robocop (US revision 1)"
robocpu0  "Robocop (US revision 0)"
robocopb  "Robocop (World bootleg)"
hippodrm  "Hippodrome (US)"
ffantasy  "Fighting Fantasy (Japan)"
slyspy    "Sly Spy (US revision 3)"
slyspy2   "Sly Spy (US revision 2)"
secretag  "Secret Agent (World)"
midres    "Midnight Resistance (World)"
midresu   "Midnight Resistance (US)"
midresj   "Midnight Resistance (Japan)"
bouldash  "Boulder Dash / Boulder Dash Part 2 (World)"
stadhero  "Stadium Hero (Japan)"
madmotor  "Mad Motor"
vaportra  "Vapor Trail - Hyper Offence Formation (World revision 1)"
vaportru  "Vapor Trail - Hyper Offence Formation (US)"
kuhga     "Kuhga - Operation Code 'Vapor Trail' (Japan revision 3)"
cbuster   "Crude Buster (World FX version)"
cbusterw  "Crude Buster (World FU version)"
cbusterj  "Crude Buster (Japan)"
twocrude  "Two Crude (US)"
darkseal  "Dark Seal (World revision 3)"
darksea1  "Dark Seal (World revision 1)"
darkseaj  "Dark Seal (Japan)"
gatedoom  "Gate of Doom (US revision 4)"
gatedom1  "Gate of Doom (US revision 1)"
supbtime  "Super Burger Time (World)"
supbtimj  "Super Burger Time (Japan)"
cninja    "Caveman Ninja (World revision 3)"
cninja0   "Caveman Ninja (World revision 0)"
cninjau   "Caveman Ninja (US)"
joemac    "Joe & Mac (Japan)"
stoneage  "Stoneage"
tumblep   "Tumble Pop (World)"
tumblepj  "Tumble Pop (Japan)"
tumblepb  "Tumble Pop (bootleg set 1)"
tumblep2  "Tumble Pop (bootleg set 2)"
senjyo    "Senjyo"
starforc  "Star Force"
starfore  "Star Force (encrypted)"
megaforc  "Mega Force"
baluba    "Baluba-louk no Densetsu"
bombjack  "Bomb Jack (set 1)"
bombjac2  "Bomb Jack (set 2)"
pbaction  "Pinball Action (set 1)"
pbactio2  "Pinball Action (set 2)"
tehkanwc  "Tehkan World Cup"
gridiron  "Gridiron Fight"
teedoff   "Tee'd Off"
solomon   "Solomon's Key (Japan)"
rygar     "Rygar (US set 1)"
rygar2    "Rygar (US set 2)"
rygarj    "Argus no Senshi (Japan)"
gemini    "Gemini Wing"
silkworm  "Silkworm (set 1)"
silkwrm2  "Silkworm (set 2)"
gaiden    "Ninja Gaiden (World)"
shadoww   "Shadow Warriors (US)"
ryukendn  "Ninja Ryukenden (Japan)"
tknight   "Tecmo Knight"
wildfang  "Wild Fang"
wc90      "World Cup 90"
wc90b     "Euro League"
fstarfrc  "Final Star Force (US)"
ginkun    "Ganbare Ginkun"
tutankhm  "Tutankham"
tutankst  "Tutankham (Stern)"
junofrst  "Juno First"
junofstg  "Juno First (Gottlieb)"
pooyan    "Pooyan"
pooyans   "Pooyan (Stern)"
pootan    "Pootan"
timeplt   "Time Pilot"
timepltc  "Time Pilot (Centuri)"
spaceplt  "Space Pilot"
psurge    "Power Surge"
megazone  "Mega Zone"
megaznik  "Mega Zone (Kosuka)"
pandoras  "Pandora's Palace"
gyruss    "Gyruss (Konami)"
gyrussce  "Gyruss (Centuri)"
venus     "Venus"
trackfld  "Track & Field"
trackflc  "Track & Field (Centuri)"
hyprolym  "Hyper Olympic"
hyprolyb  "Hyper Olympic (bootleg)"
rocnrope  "Roc'n Rope"
rocnropk  "Roc'n Rope (Kosuka)"
circusc   "Circus Charlie"
circusc2  "Circus Charlie (no level select)"
circuscc  "Circus Charlie (Centuri)"
circusce  "Circus Charlie (Centuri, earlier)"
tp84      "Time Pilot '84 (set 1)"
tp84a     "Time Pilot '84 (set 2)"
hyperspt  "Hyper Sports"
hpolym84  "Hyper Olympics '84"
sbasketb  "Super Basketball"
mikie     "Mikie"
mikiej    "Shinnyuushain Tooru-kun"
mikiehs   "Mikie (High School Graffiti)"
roadf     "Road Fighter (set 1)"
roadf2    "Road Fighter (set 2)"
yiear     "Yie Ar Kung-Fu (set 1)"
yiear2    "Yie Ar Kung-Fu (set 2)"
kicker    "Kicker"
shaolins  "Shao-Lin's Road"
pingpong  "Ping Pong"
gberet    "Green Beret"
rushatck  "Rush'n Attack"
gberetb   "Green Beret (bootleg)"
mrgoemon  "Mr. Goemon (Japan)"
jailbrek  "Jail Break"
finalizr  "Finalizer - Super Transformation"
finalizb  "Finalizer - Super Transformation (bootleg)"
ironhors  "Iron Horse"
dairesya  "Dai Ressya Goutou (Japan)"
farwest   "Far West"
jackal    "Jackal (World)"
topgunr   "Top Gunner (US)"
jackalj   "Tokushu Butai Jackal (Japan)"
topgunbl  "Top Gunner (bootleg)"
ddribble  "Double Dribble"
contra    "Contra (US)"
contrab   "Contra (US bootleg)"
contraj   "Contra (Japan)"
contrajb  "Contra (Japan bootleg)"
gryzor    "Gryzor"
combasc   "Combat School (joystick)"
combasct  "Combat School (trackball)"
combascj  "Combat School (Japan trackball)"
bootcamp  "Boot Camp"
combascb  "Combat School (bootleg)"
rockrage  "Rock 'n Rage (World?)"
rockragj  "Koi no Hotrock (Japan)"
mx5000    "MX5000"
flkatck   "Flak Attack (Japan)"
fastlane  "Fast Lane"
labyrunr  "Labyrinth Runner (Japan)"
thehustl  "Hustler, The (Japan version M)"
thehustj  "Hustler, The (Japan version J)"
rackemup  "Rack 'em Up"
battlnts  "Battlantis"
battlntj  "Battlantis (Japan)"
bladestl  "Blades of Steel (version T)"
bladstle  "Blades of Steel (version E)"
hcastle   "Haunted Castle (set 1)"
hcastlea  "Haunted Castle (set 2)"
hcastlej  "Akuma-Jou Dracula (Japan)"
ajax      "Ajax"
